Round,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,24.61836325901379,25.91292762850199,27.02986677092137,27.315152663742623,25.47521958638682,23.485184161665813,28.13764931141822,27.241110506902544,23.741097014085945,23.67296411823544,24.818864656682255,23.94483620478666,24.946433079940736,18.32420587529075,19.011282463946895,20.76515208962748,23.12487508192363,22.865640705711506,22.93524990626815,23.552973677251153,24.30594319456096,24.332410938480663,23.610809180692314,23.006398997116538,23.23268550191502,24.096634088410838,24.938882386770366,24.97970084848624,22.985856423956093,23.250593830130235,23.540221399562498,26.47507449543619,25.92511285873548,23.980762323229822,23.51511899323659,22.647989360088093,21.64842913443231,21.177117610903554,21.906892340120038,27.952516332398254,24.119717164192327,23.552471897080764,23.383149722551448,22.653910068679423,22.550974186096425,23.692312065535802,24.42467316725448,25.186323072411646,23.67677227629151,23.804901084086147
12,24.67850103333386,25.89072447511839,26.925910114721603,27.19116472194917,25.48234778094992,23.46409404102625,27.9135146102893,27.070501650164964,23.724063790123317,23.69797285094809,24.84789212545196,23.98387895099421,24.802174181142103,18.495975022454786,19.14463159357495,20.823506428208486,23.137509419864887,22.906746152807603,23.003764227571445,23.569879395542003,24.215130472887196,24.238902250767158,23.625458127468885,23.110236083163322,23.312393262127188,24.099023860108286,24.949087002199335,24.938680849242168,22.9890128819874,23.253705100537502,23.52108681297459,26.33758408626101,25.855577038066414,23.939926262100983,23.464933205342184,22.631435536024682,21.714460222198188,21.327253392496708,22.021367943588068,27.793175415234344,24.0849784539517,23.517393518028257,23.383297139459156,22.73219804009055,22.706508406349222,23.806806294129995,24.428334267684292,25.061130585208137,23.63575490237217,23.890091735220764
13,24.73147780129279,25.868594749845727,26.829668735674648,27.076826317370703,25.486507212722334,23.444728571049318,27.702761370258216,26.909400670065157,23.717541055329512,23.725249078879077,24.86585109272155,24.016807871359546,24.673946148761125,18.65813916523483,19.27340887651412,20.88433538060166,23.1494870891279,22.947718820535243,23.062401364222282,23.57977138421383,24.13744556045404,24.15925026311988,23.637735887342973,23.199908486072,23.38545243950434,24.105652159002382,24.946485463960045,24.898237224085374,22.993084026322897,23.254041287273374,23.50199761009465,26.217082324212363,25.78986730501393,23.898683653987472,23.420120128772346,22.621000830461057,21.780681282713815,21.462418565095813,22.12160682150667,27.642672741913053,24.04871540598902,23.488615077203637,23.390262063687118,22.810374223293962,22.847256846539487,23.90653725851278,24.429742810680487,24.9496614950094,23.599963783529233,23.964628036950817
14,24.77776119931916,25.846589379505225,26.74042918515804,26.970857128887197,25.487800856527187,23.42722778736913,27.50442119520995,26.757175326841818,23.719468061216904,23.75420794569435,24.875222716587846,24.044620048070744,24.560244183097474,18.811956593054653,19.39786597561515,20.94656314830587,23.161171240793994,22.987275172070206,23.112737298760344,23.584809403744913,24.070461876257244,24.091335378314536,23.648196759156214,23.277829905409916,23.452284410262553,24.114700327200502,24.934423403991378,24.858341813023436,22.99786417740554,23.252416170007223,23.483248841421315,26.110278569412756,25.72776715587719,23.857617182335776,23.380050657135328,22.615850799281564,21.845938386479972,21.584599936849422,22.210084321417433,27.501211135777467,24.011207467988633,23.46527922739897,23.402346312086767,22.8874705312488,22.97505657013046,23.993528516379776,24.429331952200638,24.850207241187253,23.56831361028992,24.030561887734596
15,24.81796480789435,25.824715832688568,26.65750270241758,26.872262944787288,25.48639884805376,23.411606446912337,27.317609728117915,26.613226871160535,23.728153032336266,23.7844097028897,24.877965437934375,24.068161164637385,24.459618945896384,18.958433938694778,19.51821444938143,21.009388630356987,23.17269130052541,23.024694946496947,23.156063546047147,23.586506949685884,24.012364504950366,24.033333863162586,23.657293229832717,23.345932575234784,23.513279586773216,24.124853523311124,24.91540300624939,24.81901656198253,23.003174893998864,23.249451254858773,23.46502785360313,26.014650716028864,25.669013027657968,23.817120152392327,23.344221490553664,22.615136729913086,21.909510131876353,21.695452791124243,22.288798136594124,27.3686226340549,23.97280989657542,23.4466823219327,23.418207217958283,22.96277825871375,23.091417308551417,24.06949550218969,24.427465933846356,24.761352447802704,23.540044786316244,24.089417558927636
16,24.852740279872787,25.802970313305416,26.580249373997667,26.780240890634317,25.482518941912442,23.397796846039462,27.14151401387857,26.476998439632958,23.742217199974625,23.815503601075264,24.8756208524877,24.08814245546462,24.370718555639215,19.09837906636644,19.634638658167543,21.072215140690275,23.184056149570218,23.05961556569428,23.193447896558215,23.5859337186391,23.961753480318833,23.983707614219824,23.66537822717421,23.40577103350183,23.56880795239815,24.135177161077813,24.891306395182674,24.78030356490689,23.00886920776567,23.24561378459433,23.447457895349224,25.92824129393614,25.61333678998888,23.777469037685382,23.312198228203425,22.618069000238567,21.97095628903693,21.796378126901992,22.359365491577712,27.244532711737996,23.933887460529647,23.432230433153588,23.43679055890903,23.035786759849024,23.19759720152649,24.135895134179897,24.424455444133816,24.681899945819872,23.514612877301616,24.142359983043733
17,24.882721496948236,25.781351441712868,26.508088430990718,26.694122420279747,25.47640620953611,23.385681262888575,26.975385120317167,26.347976027072903,23.760538800249783,23.847199848683744,24.869400545047462,24.105158268023057,24.29230521410109,19.232443964316715,19.747303269507746,21.134599838759357,23.195218663644383,23.091899680036764,23.225779582960335,23.583850461088957,23.91752027684649,23.9411721741015,23.672718501345862,23.45860154757292,23.619224488621068,24.14502181047149,24.86355568761373,24.74224962390886,23.01482961334021,23.24125122633511,23.43062175424891,25.849515167949324,25.56048536079464,23.73886248935567,23.283590925893062,22.62394606483397,22.030023107670267,21.888573817753326,22.42310018869023,27.128459756462078,23.89478285481858,23.421412375375688,23.457272889887378,23.10613853994121,23.294658137898484,24.193968982932653,24.420565968100334,24.610821709336534,23.491616500649798,24.190300472401304
18,24.90849761197545,25.75986482227702,26.440500555992116,26.613338014958885,25.46831608255363,23.375115342703204,26.8185328470061,26.225686363332933,23.782204062358275,23.879254795594193,24.86025586238781,24.119702880384146,24.223258171164847,19.361158790614475,19.85635792751532,21.196216489425513,23.206111615598957,23.121549540853163,23.253803454860964,23.580800328292572,23.878768037033673,23.90465897785017,23.6795105912187,23.505444034425555,23.664871286221352,24.15395062191986,24.833229171687513,24.704898664087793,23.02096393408877,23.236619840699973,23.414574781559796,25.777257716160655,25.510228484720578,23.70144358960571,23.258044263693503,22.632161302820894,22.08658231607611,21.973070775360057,22.4810734156588,27.019875422416497,23.855802763452854,23.413782472588323,23.479013766027197,23.17359528342914,23.383507043783094,24.244779263494067,24.4160233126089,24.547225179777577,23.470750252629536,24.233965522504974
19,24.930602002079336,25.73852338770371,26.377025771648576,26.53739451629935,25.45850172172184,23.365944240555965,26.670321226087808,26.109693711386434,23.806466745667255,23.91146229480355,24.848933317428948,24.132185863839986,24.162569584919375,19.484958574839688,19.961940355641488,21.256827599769647,23.216666822143765,23.148651539447364,23.278146324788942,23.577171682706258,23.844758441043098,23.873279061919174,23.68589581994849,23.547130760499172,23.70607779670919,24.16168421022854,24.801146544787585,24.66828837875516,23.027200866751016,23.23190721998105,23.399352347836036,25.710500408300636,25.46236056085899,23.665313570597576,23.235233809323454,22.64219929958687,22.1405907468297,22.050760047986905,22.534161717737646,26.918241070552092,23.81721296999107,23.408948967178812,23.50151704422053,23.238011563798143,23.464927101202722,24.289238317532686,24.41101803986563,24.490329070304902,23.451773955005027,24.273943192824937
20,24.949509824125585,25.717346012493774,26.317259066736817,26.465859934218056,25.447205395520385,23.358013277560573,26.530164347412466,25.999596484145197,23.832715632951327,23.943647963414186,24.836018291159082,24.142945693086176,24.109336943374995,19.604204020040136,20.064178538557282,21.316263352626297,23.22682458910824,23.173340297952112,23.29933764636091,23.5732418577587,23.8148751738605,23.846291079063327,23.69197309276366,23.58434477245659,23.74316021887286,24.16805892960445,24.76793200327948,24.632449117388468,23.033485916605418,23.22724956680917,23.384974407750285,25.648465446440223,25.41669963636044,23.630541025362497,23.214864465765647,22.653627544209296,22.192062978569,22.1224140940611,22.58308491519895,26.823029431988907,23.779238120142693,23.406565754290572,23.524399982733478,23.299314191026514,23.539601561068395,24.32813264338203,24.405709453378922,24.439445255826804,23.434492539802772,24.310715431729065
21,24.965640048622042,25.69635562072813,26.26084504339159,26.39835277518405,25.4346531188403,23.351174599284306,26.39752238159565,25.895024046209016,23.860448715567042,23.97566485564569,24.821969384550137,24.1522615540512,24.06275408379592,19.71919764966942,20.163192325501267,21.37440557136506,23.236537638770265,23.195775502897728,23.317826004234533,23.5692079958467,23.78859799749813,23.823074342625517,23.697809301012736,23.617650243297007,23.776420626912273,24.172995364236,24.734061281806728,24.59740392139351,23.039777940522725,23.22274471565134,23.371448569139204,25.59052399392028,25.373085194470242,23.597168592260417,23.19666942052071,22.666086588698803,22.241052438710547,22.18870405726682,22.62843616744317,26.733737057546193,23.742063846447643,23.40632613582688,23.54736879025038,23.357485836245118,23.608132025102364,24.362142516700498,24.400229327435294,24.393964741464345,23.418742865515938,24.34468129723927
22,24.979359651212455,25.675577352047803,26.207472332032715,26.33453418303621,25.421051750615792,23.345291012499004,26.27189779774899,25.795633822530405,23.889252750586703,24.007389893335056,24.807145381977783,24.160363437388465,24.02210192250834,19.830196318627383,20.259094646755262,21.431175461776796,23.245771991850454,23.216127082548894,23.333992440518955,23.565208997101607,23.765483790432626,23.803106669282997,23.70344754899987,23.64751642346338,23.80614617112583,24.176474591715223,24.69989694170342,24.563169105593538,23.04604630609287,23.218461850446246,23.35877237450031,25.53616429405777,25.331375568161484,23.565218102566355,23.180408963010436,22.67928017392801,22.287638159778613,22.250214118719327,22.67070589971909,26.649890986955658,23.705840032900838,23.407957855327616,23.570199386531385,23.412551979102933,23.671052562944976,24.391858093473537,24.394685402847077,24.35334648250216,23.40438504518989,24.37617408596292
23,24.990988668160682,25.6550370119415,26.15686819091004,26.274101893077507,25.406587847525564,23.340237889004296,26.152831803944345,25.70110872981562,23.91878703627379,24.038720774569995,24.79182641217708,24.167440674104995,23.98673948410998,19.937420900659355,20.35199245761697,21.486524215438614,23.254506255768828,23.234565865957848,23.348161340345527,23.561341276695153,23.745152301122545,23.78594641939131,23.708913548343197,23.674336532613246,23.8326085052417,24.17852035337634,24.66571498267595,24.529755058072773,23.05226859772103,23.214448722908834,23.34693514282975,25.484967112583696,25.291445385625558,23.534694701413677,23.165869006819623,22.69296602079464,22.331915406414875,22.30745359647671,22.710300921545183,26.571051785975797,23.67068455031722,23.411218992225614,23.592722312550123,23.464570478011744,23.72884068128079,24.41779271313914,24.38916462413227,24.317108277546048,23.391296707267333,24.40547425754063
24,25.00080540980578,25.634759866339962,26.108793506309905,26.21678540517575,25.391427711421255,23.335903787132743,26.039901035412164,25.611154905113853,23.94877047084784,24.0695732426543,24.77623056659913,24.173649096169648,23.95609552180394,20.041063789898757,20.441987482724972,21.540425793496212,23.262730161196888,23.251257848982682,23.36060939809077,23.557670162704873,23.727275187852715,23.771218045726698,23.71422053025797,23.698442656158047,23.856063489679975,24.179185710446564,24.631725001525155,24.497167085028888,23.058428781325794,23.210737009750474,23.335919535894334,25.43658668084416,25.253183229814265,23.505590220702363,23.152859345390755,22.706947567250293,22.373989006970074,22.36086723835254,22.747559764746676,26.496814312751226,23.636687088091335,23.415894470686318,23.61481091310779,23.51362323273767,23.781925909854454,24.44039396426591,24.38373609193485,24.284819221689816,23.379369159429757,24.432819373496805
25,25.00905146233393,25.614769764269433,26.06303828867189,26.162342014755342,25.37571820474615,23.33219025542789,25.932714502837587,25.52549969389052,23.978971163799457,24.099878662533804,24.760526965697334,24.1791170070906,23.92966085289997,20.14129471310531,20.5291768099681,21.592871378128507,23.270442825412093,23.26636083164797,23.37157305002902,23.55423819527159,23.71156741694348,23.758600499058858,23.719372985429068,23.72011749461078,23.876751163085558,24.17854310467353,24.59808552240109,24.465406213672377,23.064515743350643,23.207346296965373,23.325702923068278,25.39073581808669,25.21648957829111,23.477885969712034,23.141211732537148,22.721066719482824,22.41396860592791,22.410844025228997,22.782765037189865,26.426807085857355,23.60391287124409,23.421793036319606,23.636372084796978,23.559809527423532,23.830696582016287,24.460052949300312,24.378453717195605,24.25609336798471,23.3685047849507,24.458411861680112
